unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
46327882.0559167,-0.0387878418,-0.7511444092,-0.5975341797,,,,,,,,,,,,,,,,,,,,,,,,
46327963.2893333,,,,,-0.1374396186,0.3521561825,-0.2294691448,,,,,,,,,,,,,,,,,,,,
46327.9632182917,,,,,,,,,,,-93.1685791016,-123.1036071777,224.9574737549,,,,,,,,,,,,,,
46327987.2589167,0.1911468506,-0.7592926025,-0.7883453369,,,,,,,,,,,,,,,,,,,,,,,,
46328064.39875,,,,,0.5870262180,0.5517206914,0.5971009564,,,,,,,,,,,,,,,,,,,,
46328.0642615833,,,,,,,,,,,-93.6731109619,-122.5990905762,226.4288482666,,,,,,,,,,,,,,
46328091.4995,0.1024475098,-0.9977874756,-0.6408386230,,,,,,,,,,,,,,,,,,,,,,,,
46328165.4327083,,,,,1.2826185947,1.3899024413,0.3805428166,,,,,,,,,,,,,,,,,,,,
46328.1653083333,,,,,,,,,,,-91.3186645508,-127.6443176270,227.4097747803,,,,,,,,,,,,,,
46328193.9035,0.0424194336,-1.0902557373,0.0484161377,,,,,,,,,,,,,,,,,,,,,,,,
46328265.6644167,,,,,-0.3916753626,0.2488588217,-0.5376315040,,,,,,,,,,,,,,,,,,,,
46328.2655950833,,,,,,,,,,,-90.9823150635,-124.9535369873,226.1018829346,,,,,,,,,,,,,,
1451522722999.89,,,,,,,,,,,,,,52.49310158198,13.3853586483871,197.578125,0.0,36.6093139648438,10.0,3.0,,,,,,,
46328297.6551667,0.1072998047,-0.8693389893,-0.5202789307,,,,,,,,,,,,,,,,,,,,,,,,
46328366.69,,,,,-0.7890653362,0.0555069350,-0.3095748999,,,,,,,,,,,,,,,,,,,,
46328.36662425,,,,,,,,,,,-91.4868469238,-121.7582244873,226.9193115234,,,,,,,,,,,,,,
46328402.80875,0.0979003906,-0.8262176514,-0.6849975586,,,,,,,,,,,,,,,,,,,,,,,,
46328467.7100417,,,,,0.1096391463,0.2022633564,-0.1270306535,,,,,,,,,,,,,,,,,,,,
46328.4676505833,,,,,,,,,,,-93.3367614746,-122.2627410889,227.0827941895,,,,,,,,,,,,,,
46328506.5112917,0.1161193848,-0.8865966797,-0.5129699707,,,,,,,,,,,,,,,,,,,,,,,,
46328568.7487083,,,,,0.1916732963,-0.0189619733,0.1335644529,,,,,,,,,,,,,,,,,,,,
46328.5686875417,,,,,,,,,,,-96.1957244873,-125.1217041016,228.5541687012,,,,,,,,,,,,,,
46328610.84025,-0.2732238770,-0.8069915771,-1.1931762695,,,,,,,,,,,,,,,,,,,,,,,,
46328669.75875,,,,,0.9286610500,0.1484179676,0.1457247127,,,,,,,,,,,,,,,,,,,,
46328.669709875,,,,,,,,,,,-95.5230255127,-129.8305816650,229.5350952148,,,,,,,,,,,,,,
46328715.4812083,0.0353240967,-0.8690185547,-0.3800354004,,,,,,,,,,,,,,,,,,,,,,,,
46328770.7920417,,,,,0.0342080379,-0.2511075950,0.1332267641,,,,,,,,,,,,,,,,,,,,
46328.7707387917,,,,,,,,,,,-98.5501556396,-129.1578826904,230.8429870605,,,,,,,,,,,,,,
46328820.2369167,0.0003356934,-0.9148559570,-0.4057312012,,,,,,,,,,,,,,,,,,,,,,,,
46328871.8345417,,,,,-0.0449957045,-0.1075203353,-0.1593329333,,,,,,,,,,,,,,,,,,,,
46328.871775,,,,,,,,,,,-98.2138214111,-130.1669311523,231.8239135742,,,,,,,,,,,,,,
46328925.3920833,-0.0047454834,-0.9611358643,-0.3928833008,,,,,,,,,,,,,,,,,,,,,,,,
46328972.9429167,,,,,-0.4639295861,-0.0006514092,-0.0716488870,,,,,,,,,,,,,,,,,,,,
46328.972891,,,,,,,,,,,-99.2228546143,-129.1578826904,233.7857513428,,,,,,,,,,,,,,
46329029.5366667,0.0688934326,-0.9299774170,-0.6940307617,,,,,,,,,,,,,,,,,,,,,,,,
46329073.8181667,,,,,0.1615263128,0.1132850138,-0.0351997991,,,,,,,,,,,,,,,,,,,,
46329.0737602917,,,,,,,,,,,-101.0727844238,-128.6533660889,233.2952880859,,,,,,,,,,,,,,
46329134.2205833,0.0529479980,-0.8732452393,-0.4483337402,,,,,,,,,,,,,,,,,,,,,,,,
46329174.6213333,,,,,0.0023294670,0.1483710959,-0.0259458469,,,,,,,,,,,,,,,,,,,,
46329.1745546667,,,,,,,,,,,-102.7545166016,-126.6352691650,235.2571258545,,,,,,,,,,,,,,
46329238.5190417,0.0690002441,-0.9085845947,-0.5343017578,,,,,,,,,,,,,,,,,,,,,,,,
46329275.6368333,,,,,-0.2289487631,-0.1031130700,0.0308849455,,,,,,,,,,,,,,,,,,,,
46329.2755784167,,,,,,,,,,,-103.0908660889,-124.6171875000,235.5840911865,,,,,,,,,,,,,,
46329343.3636667,0.0189971924,-0.8681488037,-0.5506439209,,,,,,,,,,,,,,,,,,,,,,,,
1451522723999.89,,,,,,,,,,,,,,52.4931079103169,13.385397791875,137.4609375,1.83000004291534,36.6889038085938,10.0,3.0,,,,,,,
46329376.6536667,,,,,0.1814395672,0.1731467499,-0.1262974852,,,,,,,,,,,,,,,,,,,,
46329.376603,,,,,,,,,,,-103.4272155762,-125.2898864746,234.9301452637,,,,,,,,,,,,,,
46329447.5795,0.0417938232,-0.9158935547,-0.4651489258,,,,,,,,,,,,,,,,,,,,,,,,
46329477.7170833,,,,,-0.1914666350,0.0434183142,-0.0732787416,,,,,,,,,,,,,,,,,,,,
46329.4776297917,,,,,,,,,,,-102.5863494873,-124.1126556396,232.4778594971,,,,,,,,,,,,,,
