unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown
162063.662507208,,,,,,,,,,,-56.3384094238,-8.2405548096,378.7983093262,,,,,,,,,,,,,,
162063682.461583,0.4174499512,-0.4235076904,-0.8285064697,,,,,,,,,,,,,,,,,,,,,,,,
162063766.734125,,,,,0.0245759169,-0.1822837892,0.0694957213,,,,,,,,,,,,,,,,,,,,
162063.763543542,,,,,,,,,,,-53.6476135254,-7.9042053223,379.4522705078,,,,,,,,,,,,,,
162063787.714167,0.3467559814,-0.4445190430,-0.7962951660,,,,,,,,,,,,,,,,,,,,,,,,
162063867.775083,,,,,-0.1312807923,0.2376993778,-0.4824835631,,,,,,,,,,,,,,,,,,,,
162063.864142625,,,,,,,,,,,-53.6476135254,-8.2405548096,381.0870971680,,,,,,,,,,,,,,
162063892.022958,0.5541229248,-0.3700103760,-0.8091583252,,,,,,,,,,,,,,,,,,,,,,,,
1451923539004.96,,,,,,,,,,,,,,52.3942950368415,13.1323122605804,225.3515625,0.159999996423721,35.83984375,5.0,6.0,,,,,,,
162063968.838458,,,,,0.0585764945,-0.3696749888,0.1696614709,,,,,,,,,,,,,,,,,,,,
162063.965273375,,,,,,,,,,,-55.6657104492,-6.8951568604,379.4522705078,,,,,,,,,,,,,,
162063997.418083,0.3824615479,-0.4305877686,-0.8535461426,,,,,,,,,,,,,,,,,,,,,,,,
162064069.890333,,,,,0.0853806782,-0.1367988620,0.0407836489,,,,,,,,,,,,,,,,,,,,
162064.066421833,,,,,,,,,,,-55.3293609619,-7.5678558350,379.7792358398,,,,,,,,,,,,,,
162064102.973042,0.4107055664,-0.4280242920,-0.8242797852,,,,,,,,,,,,,,,,,,,,,,,,
162064170.9135,,,,,0.1020139835,-0.3237583632,0.1552375242,,,,,,,,,,,,,,,,,,,,
162064.167447625,,,,,,,,,,,-55.1611938477,-8.0723724365,376.0190429688,,,,,,,,,,,,,,
162064208.033708,0.3509063721,-0.4549713135,-0.8247985840,,,,,,,,,,,,,,,,,,,,,,,,
